name,type,company_name,registration_date,status
"ENRICO AURELIO DE CASTIGLIONE",directors,"COMPAGNIA DEI NAVIGANTI HOLDING LTD",08/06/2015,NULL
"ENRICO AURELIO DE CASTIGLIONE",shareholders,"COMPAGNIA DEI NAVIGANTI HOLDING LTD",08/06/2015,NULL
"ENRICO AURELIO DE CASTIGLIONE","legal representatives","COMPAGNIA DEI NAVIGANTI HOLDING LTD",08/06/2015,NULL
"ENRICO AURELIO DE CASTIGLIONE","judicial representatives","COMPAGNIA DEI NAVIGANTI HOLDING LTD",08/06/2015,NULL
"ENRICO AURELIO DE CASTIGLIONE",secretaries,"COMPAGNIA DEI NAVIGANTI HOLDING LTD",08/06/2015,NULL
"SIDY BANE",shareholders,"PE SPV LIMITED",22/12/2014,NULL
"AMADOU ANTA DIOP",shareholders,"TOMA MALTA LIMITED",27/03/2015,"In Dissolution"
