name,type,company_name,registration_date,status
"ANDREAS BENJAMEN DAWID GUIBEB",directors,"AFG INTERNATIONAL BUSINESS BUREAU LTD",04/08/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB",shareholders,"AFG INTERNATIONAL BUSINESS BUREAU LTD",04/08/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB","legal representatives","AFG INTERNATIONAL BUSINESS BUREAU LTD",04/08/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB","judicial representatives","AFG INTERNATIONAL BUSINESS BUREAU LTD",04/08/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB",directors,"GREEN TOWN INTERNATIONAL LTD",28/07/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB",shareholders,"GREEN TOWN INTERNATIONAL LTD",28/07/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB","legal representatives","GREEN TOWN INTERNATIONAL LTD",28/07/2014,NULL
"ANDREAS BENJAMEN DAWID GUIBEB","judicial representatives","GREEN TOWN INTERNATIONAL LTD",28/07/2014,NULL
