name,type,company_name,registration_date,status
"DOVLET ORAZMYRADOV",directors,"AK TRADE COMPANY LIMITED",31/08/2010,NULL
"DOVLET ORAZMYRADOV",shareholders,"AK TRADE COMPANY LIMITED",31/08/2010,NULL
"DOVLET ORAZMYRADOV","legal representatives","AK TRADE COMPANY LIMITED",31/08/2010,NULL
"DOVLET ORAZMYRADOV","judicial representatives","AK TRADE COMPANY LIMITED",31/08/2010,NULL
"ANDREY GLADYSHEV",shareholders,"SEACOM LIMITED",06/08/2014,NULL
"ANDREY GLADYSHEV",secretaries,"SEACOM LIMITED",06/08/2014,NULL
