name,type,company_name,registration_date,status
"SEYDOU KANE",directors,"HAYOU TRADE LIMITED",02/09/2014,NULL
"SEYDOU KANE",shareholders,"HAYOU TRADE LIMITED",02/09/2014,NULL
"SEYDOU KANE","legal representatives","HAYOU TRADE LIMITED",02/09/2014,NULL
"SEYDOU KANE","judicial representatives","HAYOU TRADE LIMITED",02/09/2014,NULL
