name,type,company_name,registration_date,status
"HAFSAH YASSIN ABDULLAH KADI","legal representatives","THOMANEYA FOUNDATION LIMITED",12/03/2003,"In Dissolution"
"SAHL YASSIN ABDULLAH KADI","legal representatives","THOMANEYA FOUNDATION LIMITED",12/03/2003,"In Dissolution"
"BANAN YASSIN ABDULLAH KADI","judicial representatives","THOMANEYA FOUNDATION LIMITED",12/03/2003,"In Dissolution"
"HAFSAH YASSIN ABDULLAH KADI","judicial representatives","THOMANEYA FOUNDATION LIMITED",12/03/2003,"In Dissolution"
"SAHL YASSIN ABDULLAH KADI","judicial representatives","THOMANEYA FOUNDATION LIMITED",12/03/2003,"In Dissolution"
"WALEED FAROOQ A. ALDAWOOD",directors,"TAYMA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","TAYMA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","TAYMA LIMITED",05/11/2010,NULL
"ALI SULAIMAN ALRADHI",directors,"UNITED COMPANY LIMITED",12/05/2010,NULL
"FAHAD SALEH ALSEADOON",directors,"UNITED COMPANY LIMITED",12/05/2010,NULL
"FAHAD SALEH ALSEADOON",shareholders,"UNITED COMPANY LIMITED",12/05/2010,NULL
"ALI SULAIMAN ALRADHI",shareholders,"UNITED COMPANY LIMITED",12/05/2010,NULL
"ALI SULAIMAN ALRADHI","legal representatives","UNITED COMPANY LIMITED",12/05/2010,NULL
"FAHAD SALEH ALSEADOON","legal representatives","UNITED COMPANY LIMITED",12/05/2010,NULL
"ALI SULAIMAN ALRADHI","judicial representatives","UNITED COMPANY LIMITED",12/05/2010,NULL
"FAHAD SALEH ALSEADOON","judicial representatives","UNITED COMPANY LIMITED",12/05/2010,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"UMM SALAL LIMITED",17/01/2011,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","UMM SALAL LIMITED",17/01/2011,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","UMM SALAL LIMITED",17/01/2011,NULL
"MISHAL SABAH M ALMUTLAQ",directors,"VANGUARD PROPERTY LIMITED",19/04/2016,NULL
"SABAH MOHAMMED M ALMUTLAQ ALMUTLAQ",directors,"VANGUARD PROPERTY LIMITED",19/04/2016,NULL
"MISHAL SABAH M ALMUTLAQ","legal representatives","VANGUARD PROPERTY LIMITED",19/04/2016,NULL
"SABAH MOHAMMED M ALMUTLAQ ALMUTLAQ","legal representatives","VANGUARD PROPERTY LIMITED",19/04/2016,NULL
"MISHAL SABAH M ALMUTLAQ","judicial representatives","VANGUARD PROPERTY LIMITED",19/04/2016,NULL
"SABAH MOHAMMED M ALMUTLAQ ALMUTLAQ","judicial representatives","VANGUARD PROPERTY LIMITED",19/04/2016,NULL
"ABDUL FATTAH",directors,"WORLDMAR SHIPPING LTD",24/09/2001,NULL
