name,type,company_name,registration_date,status
"CAMILLE HYCINTH CRICHTON",directors,"PRIFOLIO INVESTMENTS LIMITED",07/10/2010,NULL
"CAMILLE HYCINTH CRICHTON","legal representatives","PRIFOLIO INVESTMENTS LIMITED",07/10/2010,NULL
"CAMILLE HYCINTH CRICHTON","judicial representatives","PRIFOLIO INVESTMENTS LIMITED",07/10/2010,NULL
